longitude,latitude,house_id
36.31854882,32.30328508,D01-B03-H075
36.31832032,32.30336271,D01-B03-H076
36.31823747,32.30338187,D01-B03-H077
36.31815258,32.30343096,D01-B03-H078
36.31806481,32.3034838,D01-B03-H079
36.31793079,32.3035323,D01-B03-H080
36.31784764,32.30357222,D01-B03-H081
36.31772935,32.30364003,D01-B03-H082
36.31762466,32.30360432,D01-B03-H083
36.31771962,32.30348719,D01-B03-H084
36.31786919,32.30348152,D01-B03-H085
36.31802232,32.30340797,D01-B03-H086
36.31761583,32.30340966,D01-B03-H087
36.31751745,32.30358116,D01-B03-H088
36.31742639,32.30354191,D01-B03-H089
36.31738183,32.30344355,D01-B03-H090
36.31730623,32.3034698,D01-B03-H091
36.31718987,32.30348373,D01-B03-H092
36.31710013,32.30342016,D01-B03-H093
36.31721971,32.30330573,D01-B03-H094
36.31737316,32.30330825,D01-B03-H095
36.3175879,32.30330096,D01-B03-H096
36.31779898,32.3033259,D01-B03-H097
36.31786304,32.30333949,D01-B03-H097-1
36.31810231,32.30330084,D01-B03-H100
36.31811962,32.30333987,D01-B03-H101
36.31819084,32.30330431,D01-B03-H102
36.31827999,32.30326473,D01-B03-H103
36.31836821,32.30323997,D01-B03-H104
36.31843294,32.30319937,D01-B03-H105
36.31850314,32.303178,D01-B03-H106
36.31862471,32.30313296,D01-B03-H107
36.31873338,32.30307987,D01-B03-H108
36.31881488,32.30307232,D01-B03-H109
36.3189341,32.30301612,D01-B03-H110
36.31898247,32.30299558,D01-B03-H111
36.31913023,32.30295116,D01-B03-H112
36.31913023,32.30295116,D01-B03-H112
36.31931687,32.30288728,D01-B03-H113
36.31940571,32.30280775,D01-B03-H114
36.31949772,32.30280071,D01-B03-H115
36.31966407,32.30275691,D01-B03-H116
36.31977133,32.30271258,D01-B03-H117
36.31985142,32.30270684,D01-B03-H118
36.3199304,32.30266872,D01-B03-H119
36.32016669,32.30255852,D01-B03-H120
36.32028802,32.30250318,D01-B03-H121
36.32040775,32.30247615,D01-B03-H122
36.32055373,32.30241196,D01-B03-H123
36.32065664,32.30241551,D01-B03-H124
36.32074528,32.30236358,D01-B03-H125
36.3208189,32.30232165,D01-B03-H126
36.32094762,32.30228244,D01-B03-H127
36.32105141,32.30224015,D01-B03-H128
36.32111036,32.30221528,D01-B03-H129
36.32126546,32.30217304,D01-B03-H130
36.32137065,32.30214247,D01-B03-H131
36.32129845,32.3020667,D01-B03-H132
36.32121029,32.30228551,D01-B04-H001
36.32113092,32.30231472,D01-B04-H002
36.32104327,32.30238752,D01-B04-H003
36.32094873,32.30238051,D01-B04-H004
36.32088819,32.30242839,D01-B04-H005
36.32080355,32.30241024,D01-B04-H006
36.32064021,32.30246349,D01-B04-H007
36.32053584,32.30250595,D01-B04-H008
36.3203376,32.30256859,D01-B04-H009
36.32024195,32.30260902,D01-B04-H010
36.32011408,32.30263574,D01-B04-H011
36.32004274,32.30265413,D01-B04-H012
36.3199928,32.30268726,D01-B04-H013
36.31986227,32.30269917,D01-B04-H014
36.31962215,32.30281138,D01-B04-H015
36.31958352,32.30275933,D01-B04-H016
